_id,Timestamp,Age,Gender,Country,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
65563fd0d98731f9ac74d7d2,2014-08-27 11:48:57,44,male,United States,Yes,Yes,Sometimes,More than 1000,No,No,Yes,No,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,No,No,Maybe,Don't know,Yes
65563fd0d98731f9ac74d7d3,2014-08-27 11:49:51,26,female,Poland,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,Not sure,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
65563fd0d98731f9ac74d7d4,2014-08-27 11:50:27,27,male,United Kingdom,No,No,Never,100-500,No,Yes,Yes,Not sure,No,Yes,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
65563fd0d98731f9ac74d7d5,2014-08-27 11:50:28,26,male,France,No,No,Sometimes,26-100,No,Yes,No,No,No,No,Don't know,Very easy,Yes,No,No,No,No,No,No,Yes
65563fd0d98731f9ac74d7d6,2014-08-27 11:50:46,35,male,Canada,No,No,Sometimes,6-25,No,Yes,Don't know,No,No,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Don't know,No
65563fd0d98731f9ac74d7d7,2014-08-27 11:51:07,40,male,United States,Yes,No,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Maybe,Some of them,No,No,No,No,Yes
65563fd0d98731f9ac74d7d8,2014-08-27 11:51:34,23,female,Australia,Yes,Yes,Often,1-5,Yes,Yes,No,Not sure,No,No,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No
65563fd0d98731f9ac74d7d9,2014-08-27 11:52:07,36,male,United States,No,No,Sometimes,100-500,Yes,Yes,Yes,No,Don't know,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,Maybe,Yes,Yes,No
65563fd0d98731f9ac74d7da,2014-08-27 11:52:41,31,female,United States,No,No,Sometimes,26-100,Yes,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
65563fd0d98731f9ac74d7db,2014-08-27 11:52:44,34,male,United States,No,No,Rarely,1-5,Yes,Yes,No,No,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No
65563fd0d98731f9ac74d7dc,2014-08-27 11:53:05,28,male,France,No,No,Never,26-100,No,Yes,No,No,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
65563fd0d98731f9ac74d7dd,2014-08-27 11:53:25,34,male,Canada,No,No,Never,6-25,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No
65563fd0d98731f9ac74d7de,2014-08-27 11:54:27,23,trans,United States,No,No,Rarely,More than 1000,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Yes,Yes,No,No,No,No
65563fd0d98731f9ac74d7df,2014-08-27 11:56:17,38,male,United Kingdom,No,No,Sometimes,26-100,No,Yes,No,No,No,Don't know,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No
65563fd0d98731f9ac74d7e0,2014-08-27 11:56:29,33,male,United States,No,No,Never,More than 1000,No,Yes,Don't know,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No
65563fd0d98731f9ac74d7e1,2014-08-27 11:57:30,19,male,United Kingdom,No,No,Sometimes,1-5,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,No,No
65563fd0d98731f9ac74d7e2,2014-08-27 11:57:33,25,male,United States,No,No,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No
65563fd0d98731f9ac74d7e3,2014-08-27 11:57:54,31,male,United States,Yes,No,Sometimes,1-5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No
65563fd0d98731f9ac74d7e4,2014-08-27 11:59:31,32,male,United States,Yes,Yes,Sometimes,26-100,Yes,Yes,No,No,No,No,Don't know,Somewhat difficult,Yes,No,Some of them,No,No,Yes,No,No
65563fd0d98731f9ac74d7e5,2014-08-27 12:00:02,28,male,Germany,No,No,Never,6-25,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No
65563fd0d98731f9ac74d7e6,2014-08-27 12:01:50,38,male,United States,Yes,No,Sometimes,100-500,Yes,Yes,Yes,Yes,No,Yes,Don't know,Don't know,No,No,Yes,Some of them,Maybe,Maybe,Yes,No
65563fd0d98731f9ac74d7e7,2014-08-27 12:02:40,23,male,United Kingdom,No,No,Never,26-100,No,Yes,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
65563fd0d98731f9ac74d7e8,2014-08-27 12:02:52,30,male,Canada,No,No,Never,26-100,No,No,No,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,No,No
65563fd0d98731f9ac74d7e9,2014-08-27 12:03:30,27,female,United States,No,Yes,Often,1-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No
65563fd0d98731f9ac74d7ea,2014-08-27 12:05:13,33,male,United States,Yes,No,Never,More than 1000,No,Yes,No,No,No,No,Don't know,Don't know,Yes,No,No,No,No,Maybe,No,No
65563fd0d98731f9ac74d7eb,2014-08-27 12:05:37,31,male,United States,No,No,Sometimes,26-100,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No,No
65563fd0d98731f9ac74d7ec,2014-08-27 12:07:08,39,male,United Kingdom,No,Yes,Often,6-25,No,Yes,No,No,No,No,Don't know,Very difficult,Maybe,No,Some of them,No,No,Maybe,No,Yes
65563fd0d98731f9ac74d7ed,2014-08-27 12:10:43,34,female,United States,Yes,Yes,Rarely,500-1000,Yes,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No
65563fd0d98731f9ac74d7ee,2014-08-27 12:11:00,29,female,United States,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes
65563fd0d98731f9ac74d7ef,2014-08-27 12:11:07,32,male,United States,No,No,Sometimes,500-1000,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No
65563fd0d98731f9ac74d7f0,2014-08-27 12:12:47,31,male,United States,No,No,Never,500-1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No
65563fd0d98731f9ac74d7f1,2014-08-27 12:13:30,40,male,United States,No,Yes,Sometimes,26-100,No,Yes,No,Yes,No,No,Yes,Very difficult,No,No,Yes,Yes,Yes,Yes,No,No
65563fd0d98731f9ac74d7f2,2014-08-27 12:14:13,34,male,United States,No,No,Sometimes,26-100,No,Yes,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,Don't know,No
65563fd0d98731f9ac74d7f3,2014-08-27 12:15:11,18,trans,Russia,No,No,Sometimes,26-100,Yes,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Don't know,No
65563fd0d98731f9ac74d7f4,2014-08-27 12:15:19,25,female,Canada,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No
65563fd0d98731f9ac74d7f5,2014-08-27 12:15:30,29,male,United States,No,No,Never,26-100,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,No,No
65563fd0d98731f9ac74d7f6,2014-08-27 12:16:21,24,male,United States,Yes,No,Rarely,26-100,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No
65563fd0d98731f9ac74d7f7,2014-08-27 12:17:01,31,male,Mexico,Yes,Yes,Sometimes,6-25,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Yes,No,No
65563fd0d98731f9ac74d7f8,2014-08-27 12:18:02,33,male,United States,No,Yes,Sometimes,6-25,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,No,No
65563fd0d98731f9ac74d7f9,2014-08-27 12:18:04,30,male,United States,No,Yes,Often,1-5,No,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
65563fd0d98731f9ac74d7fa,2014-08-27 12:18:14,26,female,Canada,Yes,Yes,Sometimes,26-100,No,No,No,Yes,No,No,No,Very difficult,Yes,No,No,No,No,Maybe,No,Yes
65563fd0d98731f9ac74d7fb,2014-08-27 12:18:38,44,female,United States,No,No,Never,100-500,No,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,No,Some of them,No,No,Don't know,No
65563fd0d98731f9ac74d7fc,2014-08-27 12:19:52,25,male,United States,Yes,No,Sometimes,26-100,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No
65563fd0d98731f9ac74d7fd,2014-08-27 12:20:10,33,male,United States,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
65563fd0d98731f9ac74d7fe,2014-08-27 12:22:55,29,male,United States,No,No,Never,More than 1000,No,Yes,Yes,Not sure,Yes,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No
65563fd0d98731f9ac74d7ff,2014-08-27 12:23:48,35,male,United States,Yes,No,Rarely,6-25,No,Yes,Yes,Not sure,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No
65563fd0d98731f9ac74d800,2014-08-27 12:23:59,35,male,United States,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No
65563fd0d98731f9ac74d801,2014-08-27 12:25:09,28,male,Brazil,Yes,Yes,Rarely,6-25,No,Yes,No,No,No,No,No,Don't know,Maybe,No,Yes,Yes,No,No,Don't know,Yes
65563fd0d98731f9ac74d802,2014-08-27 12:28:12,34,male,United States,Yes,No,Never,6-25,Yes,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No
65563fd0d98731f9ac74d803,2014-08-27 12:28:16,32,male,United States,No,Yes,Sometimes,26-100,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Maybe,Yes,No
65563fd0d98731f9ac74d804,2014-08-27 12:29:25,22,male,United States,No,Yes,Sometimes,500-1000,No,Yes,Yes,Yes,No,Don't know,Yes,Don't know,Yes,No,No,No,No,Yes,No,No
65563fd0d98731f9ac74d805,2014-08-27 12:31:02,28,male,United States,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No
65563fd0d98731f9ac74d806,2014-08-27 12:31:03,45,male,United States,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No
65563fd0d98731f9ac74d807,2014-08-27 12:31:14,32,male,United States,No,No,Never,100-500,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No
65563fd0d98731f9ac74d808,2014-08-27 12:31:28,28,male,United States,No,No,Sometimes,More than 1000,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No
65563fd0d98731f9ac74d809,2014-08-27 12:31:34,26,male,United Kingdom,No,No,Never,6-25,No,Yes,Don't know,No,No,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,No,No,Don't know,Yes
65563fd0d98731f9ac74d80a,2014-08-27 12:31:41,21,male,United Kingdom,No,No,Often,1-5,Yes,No,No,Yes,No,No,Yes,Very difficult,Yes,No,Some of them,Yes,No,Maybe,No,No
65563fd0d98731f9ac74d80b,2014-08-27 12:31:41,27,male,Canada,No,No,Rarely,6-25,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Yes,No,No,Don't know,No
65563fd0d98731f9ac74d80c,2014-08-27 12:31:43,18,male,United States,No,Yes,Rarely,1-5,Yes,Yes,No,No,No,No,Yes,Very easy,No,No,Some of them,No,No,No,Don't know,No
65563fd0d98731f9ac74d80d,2014-08-27 12:32:24,35,male,United States,No,No,Sometimes,26-100,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No
65563fd0d98731f9ac74d80e,2014-08-27 12:32:59,29,male,United States,No,No,Never,More than 1000,No,Yes,Yes,Yes,No,Yes,Don't know,Don't know,Yes,Yes,No,No,No,No,Don't know,No
65563fd0d98731f9ac74d80f,2014-08-27 12:33:00,25,male,United States,No,No,Sometimes,26-100,Yes,Yes,Don't know,No,No,No,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No
65563fd0d98731f9ac74d810,2014-08-27 12:33:23,33,male,United States,Yes,Yes,Sometimes,6-25,Yes,Yes,Don't know,No,Don't know,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No
65563fd0d98731f9ac74d811,2014-08-27 12:33:36,36,male,United States,No,No,Often,6-25,No,Yes,Yes,No,No,No,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No
65563fd0d98731f9ac74d812,2014-08-27 12:33:56,27,male,Canada,No,Yes,Never,100-500,No,No,Yes,Not sure,No,No,Don't know,Very difficult,Maybe,No,Some of them,Yes,No,Maybe,No,Yes
